Designator,Mid X,Mid Y,Rotation,Layer
TP9,83.2866,-33.9548,0.0,top
U1,33.6296,-146.2278,180.0,bottom
U10,213.314,-38.779,90.0,top
U11,31.5722,-98.7044,270.0,top
U12,191.2308,-111.1398,90.0,top
U2,33.8582,-73.3288,180.0,bottom
U3,145.0744,-58.0794,90.0,top
U4,138.6332,-24.3078,90.0,top
U5,86.243,-83.0076,90.0,top
U6,195.8576,-145.3134,0.0,top
U7,119.4154,-156.6826,90.0,top
U8,238.76,-145.1918,0.0,top
U9,190.454,-38.779,90.0,top
Uni-A0,215.8492,-52.4814,180.0,top
Uni-A1,226.0092,-52.4814,180.0,top
Uni-A2,205.7146,-52.6338,180.0,top
Uni-A3,195.4022,-52.4814,180.0,top
Uni-A4,187.198,-52.4052,180.0,top
Vmet1,62.3697,-131.6109,180.0,top
